customer_id,first_name,last_name,email,phone_number
C00001,Jackie,Bell,jackie.bell@example.com,001-851-477-3394x618
C00002,David,Ray,david.ray@example.com,+1-222-629-6360x782
C00003,Renee,Ferrell,renee.ferrell@example.com,001-342-667-5291x2374
C00004,Lawrence,Hernandez,lawrence.hernandez@example.com,001-958-412-0751x3385
C00005,Krista,Davis,krista.davis@example.com,(532)241-3894x512
C00006,Christina,Powell,christina.powell@example.com,450.617.5770
C00007,Kelly,Martin,kelly.martin@example.com,2033678137
C00008,Melissa,Chen,melissa.chen@example.com,001-871-421-9957x2937
C00009,Michele,Simmons,michele.simmons@example.com,(688)854-8089x20712
C00010,Stephanie,Thomas,stephanie.thomas@example.com,3084261483
C00011,Lisa,Ponce,lisa.ponce@example.com,6464860180
C00012,Joshua,Meyers,joshua.meyers@example.com,(382)801-3035
C00013,Diana,Wright,diana.wright@example.com,(912)604-3751
C00014,Gerald,Carrillo,gerald.carrillo@example.com,479-938-7459x3464
C00015,George,Thomas,george.thomas@example.com,504.822.9542x24255
C00016,James,Sims,james.sims@example.com,642-721-5654x123
C00017,Evan,Young,evan.young@example.com,772.961.3850x316
C00018,Erin,Neal,erin.neal@example.com,(667)489-6477
C00019,Thomas,Rodriguez,thomas.rodriguez@example.com,(371)206-4569
C00020,Ricardo,Miller,ricardo.miller@example.com,001-784-232-3331
C00021,Darren,Gibson,darren.gibson@example.com,(859)762-2631x73379
C00022,Kayla,Johnson,kayla.johnson@example.com,6493449891
C00023,Erin,Martinez,erin.martinez@example.com,410.447.5002x2383
C00024,Cole,Brown,cole.brown@example.com,679.881.4746x069
C00025,Sarah,Petty,sarah.petty@example.com,738.684.8150
C00026,Mary,Jackson,mary.jackson@example.com,001-373-976-5994x377
C00027,Larry,Adams,larry.adams@example.com,454.680.4438x3383
C00028,Matthew,Gordon,matthew.gordon@example.com,(879)742-8303
C00029,John,Stevens,john.stevens@example.com,619.744.8401x644
C00030,Courtney,Morales,courtney.morales@example.com,001-513-798-0400x736
C00031,Kayla,Mitchell,kayla.mitchell@example.com,(915)849-7260x879
C00032,Jesse,Ayala,jesse.ayala@example.com,3983572875
C00033,Ricardo,Clayton,ricardo.clayton@example.com,(498)287-5371x6538
C00034,Philip,Rogers,philip.rogers@example.com,(655)277-6064x201
C00035,Robert,Brown,robert.brown@example.com,541-236-1414x652
C00036,Mary,Cook,mary.cook@example.com,001-731-628-1031x80338
C00037,Thomas,Baker,thomas.baker@example.com,001-428-776-3347
C00038,Rhonda,Smith,rhonda.smith@example.com,+1-691-949-0311x874
C00039,Julian,Gilmore,julian.gilmore@example.com,+1-619-408-9182x93975
C00040,Terri,Suarez,terri.suarez@example.com,859.620.0341
C00041,Lori,Brown,lori.brown@example.com,219.979.8065x18721
C00042,April,Cook,april.cook@example.com,(581)595-7736x554
C00043,Calvin,Oconnor,calvin.oconnor@example.com,2334473127
C00044,Thomas,Ayers,thomas.ayers@example.com,001-493-528-3462x1646
C00045,Austin,Hughes,austin.hughes@example.com,001-379-905-8203
C00046,Brandon,Wilkins,brandon.wilkins@example.com,+1-221-878-1494x3519
C00047,Angela,Hanson,angela.hanson@example.com,001-834-846-1060
C00048,Zachary,Hill,zachary.hill@example.com,(955)813-2320
C00049,Jeffery,Johnson,jeffery.johnson@example.com,(433)851-5424x0663
C00050,James,Pena,james.pena@example.com,730.289.6185x836
C00051,Lynn,Simmons,lynn.simmons@example.com,001-504-970-1651x1777
